frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
141,0.283457,0.082983,0.119197,0.358443,18.5444,0.148858,14.306,3,0.338215,3.0000
142,0.189560,0.064830,0.092811,0.348730,18.3275,0.149641,13.948,3,0.212336,3.0000
143,0.291650,0.069747,0.104727,0.347242,14.7651,0.144715,19.519,2,0.358213,3.0000
144,0.341858,0.069022,0.108223,0.343831,10.9544,0.139061,24.283,2,0.352002,3.0000
145,0.279822,0.060155,0.094834,0.343666,10.5139,0.138011,24.049,3,0.280453,3.0000
146,0.272977,0.060695,0.099681,0.347069,9.8720,0.140827,24.970,3,0.274436,3.0000
147,0.251173,0.045351,0.074877,0.345454,9.6814,0.136446,24.885,2,0.250694,3.0000
148,0.469604,0.055280,0.093720,0.345078,10.6503,0.132020,20.396,4,0.494250,3.0000
149,0.370783,0.062972,0.107711,0.350158,11.6454,0.135800,21.392,2,0.195239,3.0000
150,0.322306,0.060206,0.102195,0.357629,12.2319,0.142024,25.684,3,0.449259,3.0000
151,0.370080,0.074831,0.129601,0.363465,12.9714,0.144974,27.606,2,0.373158,3.0000
152,0.282250,0.080325,0.138130,0.365216,12.6113,0.141997,25.505,2,0.277701,3.0000
153,0.405183,0.068187,0.117336,0.366740,13.3726,0.136334,21.111,2,0.413175,3.0000
154,0.259734,0.053362,0.090255,0.373733,14.2573,0.134753,22.660,3,0.317331,3.0000
155,0.258576,0.068270,0.116042,0.375209,12.5172,0.141210,26.313,3,0.482753,3.0000
156,0.226610,0.071406,0.122201,0.374538,11.3842,0.141431,26.830,3,0.250241,3.0000
157,0.322249,0.077598,0.133653,0.374117,8.1466,0.142352,25.092,2,0.313132,3.0000
158,0.371558,0.067625,0.111549,0.373592,6.7567,0.137176,22.601,3,0.357399,3.0000
159,0.248833,0.060155,0.095501,0.369075,4.8626,0.132321,22.611,2,0.280137,3.0000
160,0.221983,0.060244,0.098007,0.363973,5.1985,0.125448,19.850,3,0.453540,3.0000
161,0.229329,0.059102,0.092644,0.364941,4.7914,0.129539,19.128,4,0.268375,3.0000
162,0.272288,0.065071,0.097761,0.370874,4.2919,0.134999,19.728,3,0.289759,3.0000
163,0.377651,0.083097,0.123023,0.375484,8.4308,0.137055,20.914,3,0.390721,3.2221
164,0.437829,0.110487,0.157981,0.380304,8.5090,0.135555,21.382,2,0.438701,3.0000
165,0.463660,0.108896,0.164820,0.380298,6.2166,0.136018,20.416,3,0.363308,3.0000
166,0.286781,0.089349,0.138397,0.378655,4.1388,0.138932,21.085,2,0.273482,3.0000
167,0.218374,0.046918,0.070263,0.380424,3.0937,0.136732,24.325,3,0.198431,3.0000
